x,reaction_progress
0.005,1.10578740347297e-09
0.00502,1.1102589931437521e-09
0.00504,1.1147474578009118e-09
0.00506,1.1192585163463436e-09
0.00508,1.1237999160609385e-09
0.0051,1.1283820805589865e-09
0.00512,1.1330188140864397e-09
0.00514,1.1377288509770893e-09
0.00516,1.1425372360771623e-09
0.00518,1.1474774658120393e-09
0.0052,1.152594615270542e-09
0.00522,1.1579489723839698e-09
0.00524,1.163621503280619e-09
0.00526,1.1697206698929672e-09
0.00528,1.1763918393824648e-09
0.0053,1.1838299051644058e-09
0.00532,1.1922961900662343e-09
0.00534,1.2021407021526527e-09
0.00536,1.2138326730982964e-09
0.00538,1.2280007877045086e-09
0.0054,1.2454875275533002e-09
0.00542,1.2674216292126322e-09
0.00544,1.2953153337405477e-09
0.00546,1.3311946818637982e-09
0.00548,1.3777736446803483e-09
0.0055,1.4386880633703616e-09
0.00552,1.5188079350459448e-09
0.00554,1.6246566110771898e-09
0.00556,1.76497153119712e-09
0.00558,1.9514554843726954e-09
0.0056,2.199782712959251e-09
0.00562,2.5309460662457257e-09
0.00564,2.973061525291788e-09
0.00566,3.563784593923784e-09
0.00568,4.353547000003382e-09
0.0057,5.409891059624825e-09
0.00572,6.8232755175867675e-09
0.00574,8.714851253761426e-09
0.00576,1.1246876389461615e-08
0.00578,1.4636666379476726e-08
0.0058,1.9175279721112236e-08
0.00582,2.5252547136823e-08
0.00584,3.339059856613862e-08
0.00586,4.428877342051985e-08
0.00588,5.8883780332374043e-08
0.0059,7.843028532873164e-08
0.00592,1.0460886599284825e-07
0.00594,1.3967062578715597e-07
0.00596,1.8663091855881622e-07
0.00598,2.495288607008464e-07
0.006,3.3377497116885865e-07
0.00602,4.4661686332445445e-07
0.00604,5.977630705856488e-07
0.00606,8.002186903432827e-07
0.00608,1.0714047470797475e-06
0.0061,1.434657567362706e-06
0.00612,1.9212371150769555e-06
0.00614,2.5730169542905205e-06
0.00616,3.4460870208705265e-06
0.00618,4.615578690239882e-06
0.0062,6.182126396300333e-06
0.00622,8.280520179588564e-06
0.00624,1.1091290891957865e-05
0.00626,1.4856220145333821e-05
0.00628,1.9899101450734346e-05
0.0063,2.6653525176638492e-05
0.00632,3.570005472212088e-05
0.00634,4.781595304545581e-05
0.00636,6.404167071509953e-05
0.00638,8.576970116043479e-05
0.0064,0.0001148632513348848
0.00642,0.00015381460003032507
0.00644,0.0002059561865807569
0.00646,0.00027574158672450896
0.00648,0.00036911881250678883
0.0065,0.0004940250461207893
0.00652,0.000661040165669729
0.00654,0.0008842462825451988
0.00656,0.0011823516957789563
0.00658,0.001580149235834459
0.0066,0.0021103887851058024
0.00662,0.0028161476647923303
0.00664,0.0037537732039665704
0.00666,0.0049964371827264
0.00668,0.0066382642898411255
0.0067,0.008798853542526259
0.00672,0.011627780442099115
0.00674,0.015308341398483525
0.00676,0.020059417726829922
0.00678,0.02613401570658224
0.0068,0.03381301452332517
0.00682,0.043393225198897496
0.00684,0.05517021529753751
0.00686,0.06941826033914003
0.00688,0.08637143890922899
0.0069,0.10621021941442148
0.00692,0.12905631813685908
0.00694,0.15497561480107527
0.00696,0.18398564227637565
0.00698,0.2160615491467847
0.007,0.2511330093536994
0.00702,0.28906535699746094
0.00704,0.32962312471977645
0.00706,0.3724239687162129
0.00708,0.4168975382691491
0.0071,0.4622916339104575
0.00712,0.5077281703993364
0.00714,0.5522948994167753
0.00716,0.5951504786336361
0.00718,0.6356106770441248
0.0072,0.6731953271534983
0.00722,0.7076337543808346
0.00724,0.7388395907109749
0.00726,0.7668700556113835
0.00728,0.7918823438028212
0.0073,0.8140948730646715
0.00732,0.8337566984083623
0.00734,0.8511254584593682
0.00736,0.86645272492695
0.00738,0.879975120352063
0.0074,0.8919096039884584
0.00742,0.9024515895287534
0.00744,0.9117748756093392
0.00746,0.9200326585218014
0.00748,0.9273591280361307
0.0075,0.933871319827413
0.00752,0.9396710204158316
0.00754,0.9448466041115587
0.00756,0.9494747366712851
0.00758,0.9536219156794321
0.0076,0.9573458394184579
0.00762,0.9606966087490343
0.00764,0.9637177734522909
0.00766,0.9664472377436584
0.00768,0.9689180406813032
0.0077,0.9711590268949181
0.00772,0.9731954220499252
0.00774,0.9750493261115175
0.00776,0.976740136009445
0.00778,0.9782849078602088
0.0078,0.9796986675505849
0.00782,0.9809946772596562
0.00784,0.982184664407844
0.00786,0.9832790185694669
0.00788,0.9842869610617071
0.0079,0.9852166912155598
0.00792,0.9860755127302652
0.00794,0.9868699429987609
0.00796,0.9876058078555692
0.00798,0.9882883238291751
0.008,0.988922169668373
0.00802,0.9895115486477966
0.00804,0.9900602429343499
0.00806,0.9905716611072598
0.00808,0.991048879764531
0.0081,0.9914946800131624
0.00812,0.9919115795256802
0.00814,0.9923018607481595
0.00816,0.9926675957621639
0.00818,0.9930106682326709
0.0082,0.9933327928141146
0.00822,0.9936355323355789
0.00824,0.9939203130425041
0.00826,0.9941884381349596
0.00828,0.994441099810536
0.0083,0.994679389992485
0.00832,0.9949043099001741
0.00834,0.995116778598637
0.00836,0.9953176406465342
0.00838,0.9955076729467659
0.0084,0.995687590890952
0.00842,0.9958580538777183
0.00844,0.9960196702749743
0.00846,0.9961730018878843
0.00848,0.9963185679868868
0.0085,0.9964568489437099
0.00852,0.9965882895177698
0.00854,0.9967133018304822
0.00856,0.9968322680607843
0.00858,0.9969455428914782
0.0086,0.9970534557327702
0.00862,0.9971563127465695
0.00864,0.9972543986926377
0.00866,0.9973479786155174
0.00868,0.997437299389279
0.0087,0.9975225911354546
0.00872,0.997604068528056
0.00874,0.9976819319982866
0.00876,0.9977563688503822
0.00878,0.997827554298994
0.0088,0.9978956524375532
0.00882,0.9979608171462118
0.00884,0.9980231929470801
0.00886,0.9980829158137069
0.00888,0.9981401139408973
0.0089,0.9981949084801306
0.00892,0.9982474142448928
0.00894,0.9982977403892079
0.00896,0.9983459910614105
0.00898,0.9983922660337285
0.009,0.9984366613063665
0.00902,0.998479269682327
0.00904,0.9985201813058857
0.00906,0.9985594841529216
0.00908,0.9985972644544308
0.0091,0.9986336070242752
0.00912,0.9986685954469202
0.00914,0.9987023120577985
0.00916,0.9987348376110565
0.00918,0.9987662504680909
0.0092,0.9987966250630615
0.00922,0.9988260295189658
0.00924,0.9988545234808257
0.00926,0.9988821586518525
0.00928,0.9989089799607204
0.0093,0.9989350266580336
0.00932,0.9989603333090873
0.00934,0.9989849306674441
0.00936,0.999008846425097
0.00938,0.9990321058423645
0.0094,0.9990547322652976
0.00942,0.9990767475409483
0.00944,0.9990981723418662
0.00946,0.9991190264110564
0.00948,0.9991393287377507
0.0095,0.9991590976731993
0.00952,0.9991783509947787
0.00954,0.9991971059270112
0.00956,0.9992153791313734
0.00958,0.9992331866786051
0.0096,0.9992505439946906
0.00962,0.9992674657876589
0.00964,0.999283965950632
0.00966,0.9993000574284231
0.00968,0.9993157520176807
0.0097,0.9993310598341079
0.00972,0.9993459907606597
0.00974,0.9993605544219563
0.00976,0.999374760190798
0.00978,0.9993886171948878
0.0098,0.9994021343233714
0.00982,0.9994153202331983
0.00984,0.9994281833553115
0.00986,0.9994407319006684
0.00988,0.9994529738661
0.0099,0.9994649170400081
0.00992,0.9994765690079124
0.00994,0.9994879371578441
0.00996,0.9994990286855945
0.00998,0.9995098505998218
0.01,0.9995204097270205
0.01002,0.9995307127163544
0.01004,0.9995407660443617
0.01006,0.999550576019531
0.01008,0.9995601487867549
0.0101,0.9995694903316629
0.01012,0.9995786064848374
0.01014,0.9995875029259176
0.01016,0.9995961851875896
0.01018,0.9996046586594737
0.0102,0.9996129285919023
0.01022,0.9996210000995996
0.01024,0.9996288781652609
0.01026,0.9996365676430357
0.01028,0.9996440732619181
0.0103,0.9996513996290445
0.01032,0.9996585512329057
0.01034,0.99966553244647
0.01036,0.9996723475302234
0.01038,0.999679000635129
0.0104,0.9996854958055074
0.01042,0.9996918369818375
0.01044,0.9996980280034864
0.01046,0.999704072611362
0.01048,0.9997099744504981
0.0105,0.9997157370725694
0.01052,0.9997213639383369
0.01054,0.9997268584200325
0.01056,0.9997322238036761
0.01058,0.9997374632913333
0.0106,0.9997425800033106
0.01062,0.9997475769802954
0.01064,0.9997524571854355
0.01066,0.9997572235063658
0.01068,0.999761878757179
0.0107,0.9997664256803463
0.01072,0.999770866948585
0.01074,0.9997752051666771
0.01076,0.9997794428732392
0.01078,0.9997835825424474
0.0108,0.9997876265857132
0.01082,0.9997915773533178
0.01084,0.9997954371360005
0.01086,0.9997992081665086
0.01088,0.999802892621101
0.0109,0.9998064926210183
0.01092,0.9998100102339076
0.01094,0.9998134474752148
0.01096,0.9998168063095378
0.01098,0.9998200886519422
0.011,0.999823296369246
0.01102,0.9998264312812682
0.01104,0.9998294951620438
