grid,velocity,T,density,Y_O2,Y_H2O,Y_CH4,Y_CO2,Y_N2,X_O2,X_H2O,X_CH4,X_CO2,X_N2,omega_O2,omega_H2O,omega_CH4,omega_CO2,omega_N2,thermal_conductivity,cp
0.0,0.3787461488427032,298.00000000000006,1.1300668162773708,0.22005641388531402,1.2761562307162005e-12,0.05516540171193581,1.0900371764393482e-12,0.724778184400384,0.19004180919629624,1.95752599416661e-12,0.09502090459801224,6.844437605400055e-13,0.7149372862030494,-5.12489162175983e-10,5.12489162175983e-10,-2.562445810879915e-10,2.562445810879915e-10,0.0,0.027134553445981632,1076.857707758682
2e-05,0.3787461488540449,298.0000000089239,1.13006681624353,0.22005641388454772,1.7075726030279286e-12,0.055165401711743715,1.6169925533201521e-12,0.724778184400384,0.1900418091956345,2.6192856931615486e-12,0.09502090459768137,1.0153235943519322e-12,0.7149372862030494,-5.124891626685994e-10,5.124891626685994e-10,-2.562445813342997e-10,2.562445813342997e-10,0.0,0.02713455344658563,1076.8577077608281
4e-05,0.3787461488653866,298.0000000178477,1.1300668162096896,0.22005641388378147,2.138988980275996e-12,0.05516540171155161,2.143947934483185e-12,0.724778184400384,0.19004180919497274,3.281045399728454e-12,0.09502090459735048,1.3462034308527076e-12,0.7149372862030494,-5.124891631612126e-10,5.124891631612126e-10,-2.562445815806063e-10,2.562445815806063e-10,0.0,0.02713455344718981,1076.8577077629736
6.000000000000001e-05,0.37874614887672836,298.00000002677154,1.130066816175849,0.22005641388301517,2.570405362777222e-12,0.05516540171135952,2.670903320287868e-12,0.724778184400384,0.19004180919431096,3.942805114353303e-12,0.09502090459701962,1.6770832702680154e-12,0.7149372862030495,-5.124891636538291e-10,5.124891636538291e-10,-2.5624458182691453e-10,2.5624458182691453e-10,0.0,0.027134553447794044,1076.8577077651194
8e-05,0.3787461488880703,298.00000003569534,1.1300668161420082,0.22005641388224892,3.001821750858862e-12,0.055165401711167426,3.197858711123538e-12,0.724778184400384,0.19004180919364924,4.604564837538079e-12,0.09502090459668873,2.0079631128423228e-12,0.7149372862030494,-5.124891641464384e-10,5.124891641464384e-10,-2.562445820732192e-10,2.562445820732192e-10,0.0,0.027134553448398636,1076.8577077672653
0.0001,0.3787461488994133,298.0000000446192,1.1300668161081675,0.22005641388148262,3.4332381448567987e-12,0.05516540171097533,3.724814107408643e-12,0.724778184400384,0.19004180919298744,5.266324569798001e-12,0.09502090459635784,2.3388429588383774e-12,0.7149372862030494,-5.124891646390549e-10,5.124891646390549e-10,-2.5624458231952747e-10,2.5624458231952747e-10,0.0,0.02713455344900293,1076.8577077694113
0.00012000000000000002,0.3787461489107538,298.000000053543,1.1300668160743268,0.22005641388071637,3.8646545451135035e-12,0.05516540171078324,4.2517695095892555e-12,0.724778184400384,0.1900418091923257,5.928084311658396e-12,0.09502090459602697,2.6697228085362725e-12,0.7149372862030494,-5.124891651316678e-10,5.124891651316678e-10,-2.562445825658339e-10,2.562445825658339e-10,0.0,0.027134553449607156,1076.857707771557
0.00014000000000000001,0.37874614892209557,298.0000000624668,1.130066816040486,0.22005641387995006,4.296070951975757e-12,0.05516540171059114,4.778724918136917e-12,0.724778184400384,0.19004180919166394,6.589844063651197e-12,0.0950209045956961,3.000602662232093e-12,0.7149372862030495,-5.124891656242843e-10,5.124891656242843e-10,-2.5624458281214217e-10,2.5624458281214217e-10,0.0,0.027134553450211346,1076.857707773703
0.00016,0.37874614893343733,298.0000000713907,1.1300668160066454,0.22005641387918382,4.7274873657922194e-12,0.05516540171039904,5.305680333545796e-12,0.724778184400384,0.1900418091910022,7.2516038263112195e-12,0.0950209045953652,3.331482520236131e-12,0.7149372862030494,-5.124891661169009e-10,5.124891661169009e-10,-2.5624458305845044e-10,2.5624458305845044e-10,0.0,0.027134553450815783,1076.8577077758491
0.00018,0.3787461489447803,298.00000008031446,1.130066815972805,0.2200564138784175,5.158903786910823e-12,0.055165401710206945,5.832635756329202e-12,0.724778184400384,0.1900418091903404,7.91336360017217e-12,0.09502090459503432,3.662362382870697e-12,0.7149372862030494,-5.124891666095138e-10,5.124891666095138e-10,-2.562445833047569e-10,2.562445833047569e-10,0.0,0.027134553451420004,1076.8577077779946
0.0002,0.37874614895612074,298.0000000892383,1.1300668159389642,0.22005641387765126,5.590320215676111e-12,0.055165401710014855,6.359591187015533e-12,0.724778184400384,0.19004180918967867,8.57512338576255e-12,0.09502090459470346,3.99324225046758e-12,0.7149372862030494,-5.124891671021268e-10,5.124891671021268e-10,-2.562445835510634e-10,2.562445835510634e-10,0.0,0.027134553452024177,1076.8577077801408
0.00022,0.3787461489674638,298.0000000981621,1.1300668159051237,0.22005641387688496,6.0217366524264825e-12,0.05516540170982276,6.8865466261437025e-12,0.724778184400384,0.19004180918901686,9.236883183601436e-12,0.09502090459437257,4.3241221233651655e-12,0.7149372862030494,-5.124891675947398e-10,5.124891675947398e-10,-2.562445837973699e-10,2.562445837973699e-10,0.0,0.027134553452628628,1076.8577077822863
0.00024000000000000003,0.37874614897880554,298.00000010708595,1.1300668158712828,0.22005641387611868,6.453153097491472e-12,0.05516540170963066,7.413502074258179e-12,0.724778184400384,0.19004180918835512,9.898642994194308e-12,0.0950209045940417,4.65500200190533e-12,0.7149372862030494,-5.124891680873525e-10,5.124891680873525e-10,-2.5624458404367627e-10,2.5624458404367627e-10,0.0,0.02713455345323299,1076.8577077844325
